# File Summary
File Type: SureSelect DNA Design Report
Created By: SureSelect DNA Probegroup Wizard
User: Suzanne.Drury@gosh.nhs.uk
Workgroup: GOSH-Regional Molecular Genetics
Folder: GOSH-Regional Molecular Genetics
Timestamp: 16-Dec-2014

# Design Summary
Probegroup Name: NIPD - HBB SNPs Max stringency
Species: H. sapiens (H. sapiens, hg19, GRCh37, February 2009)

# Target Summary
75 Target IDs resolved to 75 targets comprising 75 regions.
0 Target IDs were not found.
Region Size: 1.575 kbp

# Probe Summary
Total Probes: 416
Total Probes Size: 14.880 kbp
Recommended Minimum Sequencing per Sample: 2.976 Mbp

# Target Parameters
Databases: RefSeq, Ensembl, CCDS, Gencode, VEGA, SNP, CytoBand
Region: Coding Exons
Region Extension: 10 bases from 3' end and 10 bases from 5' end.
Allow Synonyms: No

# Probe Tiling Parameters
Tiling density: 5x
Masking: Most Stringent
Boosting: MaximizePerformance
Extension into repeats: 20
Strand: Sense

# Target and Probe Details
#    TargetID: The identifier entered in the Targets list.
#    Interval: The genomic interval of the target.
#    Regions: The number of regions within this target.
#    Size: The total size (in base pairs) of the regions.
#    Database(s): The databases in which this target was found.
#    Coverage: The percentage of bases overlapped by probes extended by +/- 100 base pairs to represent likely capture.
#    HighCoverage: Number of regions with overlap >= 90%.
#    LowCoverage: Number of regions with overlap < 90%.

TargetID	Interval	Regions	Size	Databases	Coverage	HighCoverage	LowCoverage
rs10500638	chr11:5389809-5389829	1	21	SNP	100.0	1	0
rs10742946	chr11:6083045-6083065	1	21	SNP	100.0	1	0
rs10767706	chr11:3939087-3939107	1	21	SNP	100.0	1	0
rs10837269	chr11:5095373-5095393	1	21	SNP	100.0	1	0
rs10837643	chr11:5258028-5258048	1	21	SNP	100.0	1	0
rs10838544	chr11:5718091-5718111	1	21	SNP	100.0	1	0
rs10839573	chr11:6551329-6551349	1	21	SNP	100.0	1	0
rs10839574	chr11:6551460-6551480	1	21	SNP	100.0	1	0
rs10839575	chr11:6551625-6551645	1	21	SNP	100.0	1	0
rs10839598	chr11:6729483-6729503	1	21	SNP	100.0	1	0
rs11030008	chr11:3858606-3858626	1	21	SNP	100.0	1	0
rs11031142	chr11:4174365-4174385	1	21	SNP	100.0	1	0
rs11035045	chr11:5015931-5015951	1	21	SNP	100.0	1	0
rs11035046	chr11:5016259-5016279	1	21	SNP	100.0	1	0
rs11036766	chr11:5335933-5335953	1	21	SNP	100.0	1	0
rs11040466	chr11:6081398-6081418	1	21	SNP	100.0	1	0
rs11605777	chr11:6494776-6494796	1	21	SNP	100.0	1	0
rs12272467	chr11:5617977-5617997	1	21	SNP	100.0	1	0
rs12278842	chr11:5703548-5703568	1	21	SNP	100.0	1	0
rs12286769	chr11:4466859-4466879	1	21	SNP	100.0	1	0
rs12792498	chr11:5663565-5663585	1	21	SNP	100.0	1	0
