# File Summary
File Type: SureSelect DNA Design Report
Created By: SureSelect DNA Probegroup Wizard
User: Suzanne.Drury@gosh.nhs.uk
Workgroup: GOSH-Regional Molecular Genetics
Folder: GOSH-Regional Molecular Genetics
Timestamp: 21-Apr-2015

# Design Summary
Probegroup Name: HBB_SNPs_v2_moderate
Species: H. sapiens (H. sapiens, hg19, GRCh37, February 2009)

# Target Summary
195 Target IDs resolved to 195 targets comprising 195 regions.
0 Target IDs were not found.
Region Size: 3.846 kbp

# Probe Summary
Total Probes: 165
Total Probes Size: 5.952 kbp
Recommended Minimum Sequencing per Sample: 1.190 Mbp

# Target Parameters
Databases: RefSeq, Ensembl, CCDS, Gencode, VEGA, SNP, CytoBand
Region: Coding Exons
Region Extension: 10 bases from 3' end and 10 bases from 5' end.
Allow Synonyms: No

# Probe Tiling Parameters
Tiling density: 5x
Masking: Moderately Stringent
Boosting: MaximizePerformance
Extension into repeats: 20
Strand: Sense

# Target and Probe Details
#    TargetID: The identifier entered in the Targets list.
#    Interval: The genomic interval of the target.
#    Regions: The number of regions within this target.
#    Size: The total size (in base pairs) of the regions.
#    Database(s): The databases in which this target was found.
#    Coverage: The percentage of bases overlapped by probes extended by +/- 100 base pairs to represent likely capture.
#    HighCoverage: Number of regions with overlap >= 90%.
#    LowCoverage: Number of regions with overlap < 90%.

TargetID	Interval	Regions	Size	Databases	Coverage	HighCoverage	LowCoverage
rs1017394	chr11:4800790-4800810	1	21	SNP	0.0	0	1
rs10219292	chr11:4756153-4756173	1	21	SNP	100.0	1	0
rs10466462	chr11:4828571-4828591	1	21	SNP	0.0	0	1
rs10688284	chr11:5692539-5692558	1	20	SNP	100.0	1	0
rs10768244	chr11:4821947-4821967	1	21	SNP	0.0	0	1
rs10768257	chr11:4834377-4834397	1	21	SNP	0.0	0	1
rs10768340	chr11:4907179-4907199	1	21	SNP	100.0	1	0
rs10769127	chr11:5637404-5637424	1	21	SNP	0.0	0	1
rs10769167	chr11:5687552-5687572	1	21	SNP	0.0	0	1
rs10769182	chr11:5722791-5722811	1	21	SNP	0.0	0	1
rs10769183	chr11:5722797-5722817	1	21	SNP	0.0	0	1
rs10769184	chr11:5722851-5722871	1	21	SNP	0.0	0	1
rs10769185	chr11:5724782-5724802	1	21	SNP	0.0	0	1
rs10836541	chr11:4751336-4751356	1	21	SNP	100.0	1	0
rs10836565	chr11:4761950-4761970	1	21	SNP	100.0	1	0
rs10836566	chr11:4762142-4762162	1	21	SNP	100.0	1	0
rs10836571	chr11:4772014-4772034	1	21	SNP	100.0	1	0
rs10836584	chr11:4779947-4779967	1	21	SNP	0.0	0	1
rs10836585	chr11:4780094-4780114	1	21	SNP	0.0	0	1
rs10836705	chr11:4834231-4834251	1	21	SNP	0.0	0	1
rs10836711	chr11:4839533-4839553	1	21	SNP	0.0	0	1
rs10836748	chr11:4865273-4865293	1	21	SNP	0.0	0	1
rs10838471	chr11:5659046-5659066	1	21	SNP	0.0	0	1
rs10838548	chr11:5719085-5719105	1	21	SNP	0.0	0	1
rs10838553	chr11:5721406-5721426	1	21	SNP	0.0	0	1
rs10838554	chr11:5721480-5721500	1	21	SNP	0.0	0	1
rs10838556	chr11:5721630-5721650	1	21	SNP	0.0	0	1
rs10838583	chr11:5738232-5738252	1	21	SNP	0.0	0	1
rs11033661	chr11:4763575-4763595	1	21	SNP	100.0	1	0
rs11033664	chr11:4764033-4764053	1	21	SNP	100.0	1	0
rs11033806	chr11:4792013-4792033	1	21	SNP	0.0	0	1
rs11034170	chr11:4862843-4862863	1	21	SNP	0.0	0	1
rs11034574	chr11:4920325-4920345	1	21	SNP	100.0	1	0
rs11038508	chr11:5666415-5666435	1	21	SNP	0.0	0	1
rs11038513	chr11:5667249-5667269	1	21	SNP	0.0	0	1
rs11038718	chr11:5708527-5708547	1	21	SNP	0.0	0	1
rs11038738	chr11:5714220-5714240	1	21	SNP	0.0	0	1
rs11038759	chr11:5721276-5721296	1	21	SNP	0.0	0	1
rs11038760	chr11:5721620-5721640	1	21	SNP	0.0	0	1
rs113794157	chr11:4762524-4762543	1	20	SNP	0.0	0	1
rs113830186	chr11:5640808-5640831	1	24	SNP	100.0	1	0
rs11399578	chr11:5693046-5693065	1	20	SNP	0.0	0	1
rs11819759	chr11:5714280-5714300	1	21	SNP	0.0	0	1
rs12164821	chr11:5704373-5704393	1	21	SNP	0.0	0	1
rs12221714	chr11:5639460-5639480	1	21	SNP	0.0	0	1
rs12224326	chr11:5639257-5639277	1	21	SNP	100.0	1	0
rs12224567	chr11:4761884-4761904	1	21	SNP	100.0	1	0
rs12226096	chr11:4761686-4761706	1	21	SNP	0.0	0	1
rs12270724	chr11:5739214-5739234	1	21	SNP	0.0	0	1
rs12271489	chr11:5639558-5639578	1	21	SNP	0.0	0	1
rs12284287	chr11:5639494-5639514	1	21	SNP	0.0	0	1
rs12286985	chr11:4792186-4792206	1	21	SNP	52.380955	0	1
rs12287199	chr11:5703860-5703880	1	21	SNP	100.0	1	0
rs12287351	chr11:4858521-4858541	1	21	SNP	0.0	0	1
rs12289981	chr11:5716296-5716316	1	21	SNP	100.0	1	0
rs12361548	chr11:4868824-4868844	1	21	SNP	0.0	0	1
rs12418194	chr11:5672740-5672760	1	21	SNP	0.0	0	1
rs12419403	chr11:5638993-5639013	1	21	SNP	0.0	0	1
rs12786295	chr11:5714757-5714777	1	21	SNP	0.0	0	1
rs12787156	chr11:4820621-4820641	1	21	SNP	0.0	0	1
rs12787163	chr11:4820633-4820653	1	21	SNP	0.0	0	1
rs12788159	chr11:4820745-4820765	1	21	SNP	0.0	0	1
rs12790122	chr11:5669643-5669663	1	21	SNP	0.0	0	1
rs12796953	chr11:5670600-5670620	1	21	SNP	100.0	1	0
rs12799127	chr11:5704210-5704230	1	21	SNP	0.0	0	1
rs12799329	chr11:5704296-5704316	1	21	SNP	0.0	0	1
rs12800584	chr11:5704200-5704220	1	21	SNP	0.0	0	1
rs12800585	chr11:5704202-5704222	1	21	SNP	0.0	0	1
rs12801311	chr11:5704032-5704052	1	21	SNP	100.0	1	0
rs12804377	chr11:5670661-5670681	1	21	SNP	100.0	1	0
rs12808282	chr11:4889673-4889693	1	21	SNP	0.0	0	1
rs141872087	chr11:5639067-5639086	1	20	SNP	100.0	1	0
rs141988930	chr11:5736917-5736937	1	21	SNP	0.0	0	1
rs142435216	chr11:5691448-5691468	1	21	SNP	0.0	0	1
rs1433903	chr11:4819787-4819807	1	21	SNP	100.0	1	0
rs1433915	chr11:4789852-4789872	1	21	SNP	0.0	0	1
rs1433923	chr11:4818354-4818374	1	21	SNP	100.0	1	0
rs1814720	chr11:5705297-5705317	1	21	SNP	0.0	0	1
rs1814722	chr11:5705344-5705364	1	21	SNP	0.0	0	1
